run,step,tag,value
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,209,train_acc,91.8740005493164
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,210,train_acc,91.68199920654297
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,211,train_acc,92.13199615478516
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,212,train_acc,92.22000122070312
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,213,train_acc,92.13800048828125
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,214,train_acc,92.1780014038086
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,215,train_acc,92.0739974975586
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,216,train_acc,92.24800109863281
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,217,train_acc,92.25799560546875
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,218,train_acc,92.26399993896484
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,219,train_acc,92.01599884033203
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,220,train_acc,92.093994140625
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,221,train_acc,92.12999725341797
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,222,train_acc,92.18000030517578
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,223,train_acc,92.18799591064453
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,224,train_acc,92.28799438476562
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,225,train_acc,92.22799682617188
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,226,train_acc,92.20999908447266
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,227,train_acc,92.27399444580078
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,228,train_acc,92.2959976196289
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,229,train_acc,92.20399475097656
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,230,train_acc,92.30599975585938
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,231,train_acc,92.16400146484375
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,232,train_acc,92.22200012207031
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,233,train_acc,92.25399780273438
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,234,train_acc,92.26599884033203
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,235,train_acc,92.1780014038086
S:resnet8x4_T:resnet32x4_cifar100_crd_r:1_a:0.0_b:0.8_1,236,train_acc,92.23199462890625
